id,value,name,loc_type,parent,latitude,longitude
1,4001,BAGERHAT,2,40,22.3686115374,89.7394366829
2,2003,BANDARBAN,2,20,21.8071861667,92.3638878884
3,5010,BOGRA,2,50,24.8245163362,89.378751113
4,2012,BRAHAMANBARIA,2,20,23.9531285198,91.0835437119
5,2013,CHANDPUR,2,20,23.2736608699,90.7711867248
6,2015,CHITTAGONG,2,20,22.4429170749,91.8344252164
7,4018,CHUADANGA,2,40,23.6082271134,88.8480140289
8,2019,COMILLA,2,20,23.4368961326,91.0339314977
9,3026,DHAKA,2,30,23.7869632675,90.2507633651
10,5527,DINAJPUR,2,55,25.6298523379,88.7868145968
11,3029,FARIDPUR,2,30,23.4789569148,89.8388216852
12,2030,FENI,2,20,22.9993879826,91.412429611
13,5532,GAIBANDHA,2,55,25.2987635568,89.5057653515
14,6036,HABIGANJ,2,60,24.3681051061,91.4303895657
15,4539,JAMALPUR,2,45,24.9731971184,89.8462203105
16,5038,JOYPURHAT,2,50,25.0928354456,89.0830607798
17,2046,KHAGRACHHARI,2,20,23.164472676,91.9521349328
18,4047,KHULNA,2,40,22.4694182124,89.4478048475
19,3048,KISHOREGANJ,2,30,24.376189189,90.9424187474
20,2051,LAKSHMIPUR,2,20,22.8918566686,90.8560493114
21,4057,MEHERPUR,2,40,23.7941784155,88.707108155
22,3059,MUNSHIGANJ,2,30,23.5257358479,90.4172779771
23,5070,NAWABGANJ,2,50,24.7156193703,88.2639161227
24,4572,NETRAKONA,2,45,24.8705393281,90.8446083409
25,5573,NILPHAMARI,2,55,26.0246285765,88.9294585754
26,2075,NOAKHALI,2,20,22.6938242491,91.1247689838
27,2084,RANGAMATI,2,20,22.8299887643,92.2795317066
28,3086,SHARIATPUR,2,30,23.2475093977,90.4083241608
29,5088,SIRAJGANJ,2,50,24.3916419473,89.5996751142
30,6090,SUNAMGANJ,2,60,24.9385154543,91.3461588315
31,5594,THAKURGAON,2,55,25.990615655,88.3456100095
32,20,CHITTAGONG,1,-1,22.7095064381,91.7320248071
33,45,MYMENSINGH,1,-1,24.8466577208,90.3804947045
34,60,SYLHET,1,-1,24.7154916861,91.6641246977
35,404104,ABHAYNAGAR,3,4041,23.0176616247,89.4205740121
36,302602,ADABOR,3,3026,23.7701236148,90.3532785291
37,201202,AKHAURA,3,2012,23.8387591574,91.1952727133
38,302903,ALFADANGA,3,3029,23.2969386747,89.6698632549
